,Artist,Event_link,Club,City,Date,Time
0,Green Goddess 3 ,, TBA ,Sacramento, Jun 5-Sun: Jun 7 ,Fri: 3pm-Sun: 6pm
1,Shifting Plates: An East Bay Record Fair ,Facebook Page, CCW Bar and Restaurant ,Oakland, Jun 7 ,10am-6pm
2,Dirtybird BBQ Live Stream ,Facebook Page, Livestream ,Online, Jun 7 ,12pm-11pm
3,David Harness ,, Lost & Found ,Oakland, Jun 7 ,2pm-9pm
4,Resonant Frequencies 028 ,, Livestream ,Online, Jun 7 ,6pm-10pm
5,Purity Ring ***POSTPONED*** ,Facebook Page, Fox Theater ,Oakland, Jun 7 ,7:30pm
6,Resident Electronic Music (June 2020) - Home Edition ,, Livestream ,Online, Jun 9 ,3pm-6pm
7,"Wormhole: X&G, Nastynasty, Noer The Boy, Shanghai Doom ",Facebook Page, Livestream ,Online, Jun 10 ,6pm-11pm
8,StarVibes Campout 2020 ,Facebook Page, TBA ,Piercy, Jun 12-Mon: Jun 15 ,Fri: 12pm-Mon: 12pm
9,Patch Pulse: Xyla & Somni ,Facebook Page, Livestream ,Online, Jun 12 ,8pm-10pm
10,Subsessions w/ Rusko ,Facebook Page, The Midway ,San Francisco, Jun 12 ,9pm-1am
11,The Menagerie Ft. Diplo ,Facebook Page, The Midway ,San Francisco, Jun 13 ,2pm-10pm
12,Space Cowboys Presents Livecast 9 ,Facebook Page, Livestream ,Online, Jun 13 ,6pm-12am
13,"Wormhole: The Widdler, DMVU, Secret Recipe, Phers ",Facebook Page, Livestream ,Online, Jun 17 ,6pm-11pm
14,Stilldream Festival 20 - Summer Solstice ,Facebook Page, Belden Town ,Belden, Jun 18-Mon: Jun 22 ,Thu: 12pm-Mon: 11am
15,Meduza ,, 1015 Folsom ,San Francisco, Jun 18 ,9pm-1am
16,Lee Reynolds (Desert Hearts) ,, Fulton 55 ,Fresno, Jun 19 ,9pm-2am
17,Dancing Ghosts / 13 Year Anniversary ,, Cat Club ,San Francisco, Jun 19 ,9:30pm-2:30am
18,Tiesto ,, 1015 Folsom ,San Francisco, Jun 19 ,10pm-3am
19,Club Necromancy - 3 Year Anniversary ,Facebook Page, Livestream ,Online, Jun 20 ,8am-1am
20,[Cancelled] All Day I Dream Of Golden Days ,Facebook Page, Golden Gate Park ,San Francisco, Jun 20 ,12pm-7pm
21,"Fisher: Bay Area Block Party w/Felix da Housecat, SG Lewis, Solardo, Lady Ryan , Sharon Buck, Michael Bricker / Ice Creams b2b Wilaa, DJ Katie / Viszla , DJ Mes / Phleck ",, Lake Merritt Plaza ,Oakland, Jun 20 ,2pm
22,"Peekaboo: The Impossible Tour w/Zeke Beats, Isoxo ",Facebook Page, The Regency Ballroom ,San Francisco, Jun 20 ,9pm
23,Kraftwerk 3-D ,Facebook Page, Bill Graham Civic Auditorium ,San Francisco, Jun 23 ,8pm-10pm
24,"Wormhole: Conrank, Deez, Elevated Mind, Saka, Furth ",Facebook Page, Livestream ,Online, Jun 24 ,6pm-11pm
25,"Algorithmic Art Assembly 2020: Richard Devine, Myriam Bleau, Yacht, Kindohm, Trash Panda Qc, Calum Gunn, Cndsd, Curtis Roads, Ellen Phan, Heavy Lifting, Lilium D Ayter, Shatter Pattern , Tom Hall, William Fields, {Arsonsist} ",, Gray Area ,San Francisco, Jun 26 ,12pm-12am
26,Chromeo DJ Set ,, Fulton 55 ,Fresno, Jun 26 ,9pm-2am
27,Dosem ,, Audio ,San Francisco, Jun 26 ,9:30pm-2am
28,Pink Block  Pride Saturday 2020 ,, The Great Northern ,San Francisco, Jun 27 ,12pm-9pm
29,J. Worra ,, Audio ,San Francisco, Jun 27 ,9:30pm-2am
30,Robin Schulz ,, Love And Propaganda ,San Francisco, Jun 27 ,9:30pm-2am
31,44 To The Floor ,, Lvl 44 ,San Jose, Jul 1 ,10pm-2am
32,Priceless 2020 ,, Belden Town ,Belden, Jul 2-Sun: Jul 5 ,Thu: 3pm-Sun: 12pm
33,Portico Quartet ,Facebook Page, Gray Area ,San Francisco, Jul 2 ,8pm-12am
34,Attlas ,, Audio ,San Francisco, Jul 4 ,9:30pm-2am
35,Sunday Bliss w/ Mr. V & Nelson Cuberli ,, Lost & Found ,Oakland, Jul 5 ,2pm-9pm
36,Dubfire ,, Audio ,San Francisco, Jul 6 ,9:30pm-2am
37,Artbat ,, Audio ,San Francisco, Jul 8 ,9:30pm-2am
38,Ben Bohmer (Live) ***POSTPONED*** ,, Audio ,San Francisco, Jul 9 ,9:30pm-2:30am
39,"Ayli 10 Year Kickoff: Joy Orbison b2b Ben Ufo, Or:LA ",, Public Works ,San Francisco, Jul 10 ,9pm-4am
40,Audiotistic Bay Area 2020 ,Facebook Page, Shoreline Amphitheatre ,Mountain View, Jul 11-Sun: Jul 12 ,Sat: 2pm-Sun: 10pm
41,Folamour ,, Audio ,San Francisco, Jul 13 ,9:30pm-2am
42,Postponed: Artbat + Woralks ,, The San Francisco Mint ,San Francisco, Jul 14 ,2pm-8pm
