,Artist,Club,City,Date,Time,Followers,Tracks,Month
0,Tiesto , 1015 Folsom ,San Francisco, Jun 19 ,10pm-3am,1871347,822,Jun
1,Marshmello Presents Joytime: Into The Melloverse Tour , Bill Graham Civic Auditorium ,San Francisco, Sep 29 ,7pm,1280479,118,Sep
2,San Holo , Bill Graham Civic Auditorium ,San Francisco, Nov 21 ,8pm,458188,134,Nov
3,Robin Schulz , Love And Propaganda ,San Francisco, Jun 27 ,9:30pm-2am,429822,217,Jun
4,Digitalism , The Independent ,San Francisco, May 23 ,9pm,360904,226,May
5,Slander , Bill Graham Civic Auditorium ,San Francisco, Oct 30 ,8pm,357115,57,Oct
6,Snakehips , 1015 Folsom ,San Francisco, Oct 15 ,9pm-2am,312553,110,Oct
7,Audien , Park Ultra Lounge ,Sacramento, Jun 5 ,9pm-2am,179511,96,Jun
8,Mat Zo , Audio ,San Francisco, Aug 21 ,9:30pm-2:30am,174978,261,Aug
9,Dubfire , Audio ,San Francisco, Jul 6 ,9:30pm-2am,171712,59,Jul
10,Purity Ring ***POSTPONED*** , Fox Theater ,Oakland, Jun 7 ,7:30pm,154107,40,Jun
11,Stormzy , Fox Theater ,Oakland, May 26 ,8pm,138086,75,May
12,Murda Beatz , Temple Nightclub ,San Francisco, May 29 ,10pm-3am,132803,112,May
13,Phaeleh , 1015 Folsom ,San Francisco, Aug 13 ,8pm-11:30pm,100880,111,Aug
14,Jan Blomqvist & Band , The Independent ,San Francisco, Sep 10 ,9pm,99165,106,Sep
15,Jan Blomqvist & Band , The Independent ,San Francisco, Sep 11 ,9pm,99165,106,Sep
16,Camelphat , The Midway ,San Francisco, Oct 3 ,10pm-3am,97035,204,Oct
17,Gammer , Park Ultra Lounge ,Sacramento, Sep 3 ,10pm-3am,81909,51,Sep
18,Bedouin & Einmusik , Public Works ,San Francisco, Nov 6 ,9pm-3:30am,72062,16,Nov
19,Artbat , Audio ,San Francisco, Jul 8 ,9:30pm-2am,69471,2,Jul
20,Dom Dolla , Fulton 55 ,Fresno, Jul 14 ,9pm-2am,68160,38,Jul
21,STRFKR , The Regency Ballroom ,San Francisco, Jun 6 ,8pm,61393,318,Jun
22,Jody Wisternoff , Audio ,San Francisco, Sep 25 ,9:30pm-2:30am,61063,218,Sep
23,Jody Wisternoff , Audio ,San Francisco, Sep 26 ,9:30pm-2:30am,61063,218,Sep
24,An-Ten-Nae , Arcata Theatre Lounge ,Arcata, Sep 12 ,10pm-2am,49689,132,Sep
25,Phutureprimitive , Arcata Theatre Lounge ,Arcata, Sep 19 ,9:30pm-1:30am,47792,46,Sep
26,Phutureprimitive , The Independent ,San Francisco, Jul 18 ,9pm,47792,46,Jul
